AÑO,MES,DIA,DPA_PROVIN,DPA_DESPRO,DPA_CANTON,DPA_DESCAN,DPA_PARR_1,DPA_DESP_1,longitud,latitud,X,Y,No.,Codigo en,Fuente Sec,Fuente Pri,EVENTO,SUBCATEGOR,CAUSA/DISP,Descripcio,SECTOR / B,OBSERVACIO,GRAVEDAD,Intensidad,Notas,# Muertos,#Heridos,#Desaparec,#Damnifica
1909,5,9,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.50782,-0.22073,777403,9975580,11,Peltre_11,Peltre 1989,El Comercio,Hundimiento,Hundimiento,Lluvia,lluvias estacionales,La Marin,"Por las grandes lluvias de la epoca, han aparecido hundimientos en las calles Benalcazar, La Marin,  Manosalvas.","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1909,11,26,P17,PICHINCHA,C1701,QUITO,PR170119,LA FERROVIARIA,-78.50361,-0.25588,777871,9971691,12,Peltre_12,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Lluvia,lluvias estacionales,Chiryacu- Luluncoto,"Debido a los últimos aguaceros, ha habido un gran derrube en la vía a los Chillos. El paso esta cerrado, a lo sumo ciercula una bestia.","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1911,1,26,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51566,-0.22048,776530,9975607,13,Peltre_13,Peltre 1989,El Comercio,Inundacion,,Lluvia,,"Imbabura y Bolivar, San Francisco, Rocafuerte","Inundacion lunes 24, en la zona sur por desborde de la quebrada la Cantera, especialmente: esquina de Las Almas, calle Imbabura y Bolivar, San Francisco, carrera Rocafuerte hasta Santo Domingo, calles del Correo y del Comercio.","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1911,1,30,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51408,-0.22381,776706,9975239,14,Peltre_14,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Calles Venezuela y Guayaquil,"Graves daños e inundaciones el sabado 28, (1 hombre y 8 ovejas muertas), especialmente en los almacenes de las calles Venezuela y Guayaquil.","1.  existencia de muertos y heridos, daños materiales importantes",3,,1,0,0,0
1911,4,10,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.52071,-0.21962,775968,9975702,15,Peltre_15,Peltre 1989,El Comercio,Hundimiento,Hundimientos,Lluvia,lluvias estacionales,"Av. 24 de Mayo, Quebrada Jerusalen","Por lluvias de la temporada, aparecen hundimientos en la Av. 24 de Mayo, antes Quebrada Jerusale","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1911,4,26,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51261,-0.22426,776870,9975189,16,Peltre_16,Peltre 1989,El Comercio,Inundacion,,Lluvia,,"Calles Imbabura, Bolivar, Rocafuerte, S. Domingo. Quebradas La Cantera, manosalvas, de la Loma Chica","La quebrada La Cantera inundo casas en las calles Imbabura, Bolivar, Rocafuerte, del Correo y del Comercio, además de la Plaza Santa Domingo, igualmente por el crecimiento de la anterior quebrada, las quebradas Manosalvas y de la Loma Chica se desbordar","1.  existencia de muertos y heridos, daños materiales importantes",3,,0,0,0,0
1911,5,4,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51146,-0.23235,776998,9974294,17,Peltre_17,Peltre 1989,El Comercio,Inundacion,,Lluvia,,"San Sebastían, La Recoleta","Inundaciones, daños y muertos por tempestad. Las aguas del Machangara aumentaron de caudal por la tempestad, arrastrando con ella 6 lavanderas (loc. probable puente Machangara)","1.  existencia de muertos y heridos, daños materiales importantes",3,,0,0,6,0
1913,2,7,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.52136,-0.21683,775895,9976011,18,Peltre_18,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Lluvia,,"Penal Garcia Moreno, quebrada La Cantera",Por el exceso de lluvia se derrumbó una peña en el sitio denominado La Cantera con la muerte de por lo menos cinco personas,"1.  existencia de muertos y heridos, daños materiales importantes",3,,5,0,0,0
1913,2,18,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.52078,-0.21949,775960,9975717,19,Peltre_19,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Antrópico,,"Av. 24 de Mayo, Quebrada Jerusalen","Para hacer un cimiento en lo que fue la qubrada de Jerusalen, se excavo un hueco en tierra floja, producto del relleno de la quebrada por lo cual hubo un derrumbe con cuatro muertos","1.  existencia de muertos y heridos, daños materiales importantes",3,,4,0,0,0
1913,11,20,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.50947,-0.21754,777220,9975932,20,Peltre_20,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Antrópico,,"Carrera Venezuela, Quebrada Jerusalen ???",El puente de la carrera Venezuela cayó parcialmente (parte derecha); la acumulación de material a represado las aguas,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1914,1,10,P17,PICHINCHA,C1701,QUITO,PR170113,ITCHIMBIA,-78.47567,-0.20018,780984,9977852,21,Peltre_21,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvias estacionales,Guapulo,"El camino que conduce a Guapulo, con motivo de los frecuentes aguaceros, esta completamente destruido","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1914,12,1,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51508,-0.22382,776595,9975238,22,Peltre_22,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvia esporadica,Calle Morales,Luego de prolongada sequia cayo una fuerte lluvia con inundaciones y daños calle Morales; hubo acumulacion de mas de un metro de agua,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1915,1,29,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.50839,-0.21712,777340,9975979,23,Peltre_23,Peltre 1989,El Comercio,Aluvión,,Lluvia,lluvia esporadica,"Venezuela, Vargas, Av. 24 de mayo","Fuerte lluvia luego de larga sequia. Inundacion calles Venezuela, Vargas y 24 de mayo. Ruptura de cañerias, arrastre de material, piedras y caida de paredes de casas","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1915,1,29,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.50489,-0.2258,777730,9975019,24,Peltre_24,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvia esporadica,La Tola,Fuerte lluvia luego de larga sequia. Inundacion y daños en la Tola,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1915,1,29,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.52081,-0.21762,775957,9975924,25,Peltre_25,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvia esporadica,La Penitenciaria (Jerusalen),Fuerte lluvia luego de larga sequia. Inundacion en la Penitenciaria,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1915,2,18,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.50281,-0.21047,777962,9976714,26,Peltre_26,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Lluvia,lluvia estacional,Ciudadela Larrea,En la ciudadela Larrea ha caido una casa por la crudeza del invierno,"2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1915,2,18,P17,PICHINCHA,C1701,QUITO,PR170114,JIPIJAPA,-78.47955,-0.15662,780553,9982672,27,Peltre_27,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvia estacional,El Inca,"En la casa de la hacienda de San Antonio del Inca (S. Isidro?) ha caido una casa por la crudeza del invierno. Los puentes tanto del norte como del sur se hallan en pesimas condiciones. Las tapiales que circundan los huetos y corrales, no pueden resistir","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1915,2,25,P17,PICHINCHA,C1701,QUITO,PR170120,LA LIBERTAD,-78.52503,-0.21944,775486,9975722,28,Peltre_28,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Lluvia,lluvia estacional,San Roque,"En la ciudadela Aguarico, ayer , se han caido varias casas, hoy ha ocurrido igual cosa","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1915,5,16,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.52059,-0.21821,775981,9975859,29,Peltre_29,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,,,Bolivar y Roca Fuerte ( San Roque),"Derrumbe de peña en las carreras Bolivar y Rocafuerte, San Roque","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1915,9,30,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51548,-0.22392,776550,9975227,30,Peltre_30,Peltre 1989,El Comercio,Inundacion,,Lluvia,,"Morales, entre Garcia Moreno y Venezuela","Daños entre las calles Morales, Garcia Moreno y Venezuela por lluvias. El relleno de la quebrada queda mas alto que los solares; con la lluvia se froman lagunas que causan daños","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1916,1,27,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.51464,-0.21547,776644,9976162,31,Peltre_31,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Lluvia,lluvia estacional,El Tejar,"Un considerable derrumbe en la Chorrera del Pichincha (laderas del Pichincha) cortó el agua de Quito, por el fuerte invierno que soporta la ciudad","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1916,2,25,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51378,-0.22759,776739,9974821,32,Peltre_32,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,,,"Loja, Quijano",Daños en las calles Loja y Quijano,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1916,3,2,P17,PICHINCHA,C1701,QUITO,PR170113,ITCHIMBIA,-78.4871,-0.21524,779711,9976186,33,Peltre_33,Peltre 1989,El Comercio,Hundimiento,hundimiento,,,Calle Angosta y Benalcazar,"En la calle Angosta, carrera Pichincha ( actual Benalcazar) , esta hundiendose la calle d ela cual pasa una quebrada","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1916,4,4,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51094,-0.21937,777056,9975730,34,Peltre_34,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Garcia Moreno y Av. 24 de mayo.Quebrada Jerusalem,"Inundaciones en las calles Garcia Moreno y Av. 24 de mayo, derrumbe en la calle Venezuela ( muro de hospital)","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1916,4,13,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.51156,-0.20049,776987,9977819,35,Peltre_35,Peltre 1989,El Comercio,Aluvión,,Lluvia,,Mariscal Sucre-Miraflores,"Se interrumpio el trafico del tranvia por causa de la tempestad que trajo a la via basura, lodo, piedras y otros materiales. (10 de agosto y Colon?)","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1916,5,5,P17,PICHINCHA,C1701,QUITO,PR170113,ITCHIMBIA,-78.49898,-0.21421,778388,9976301,36,Peltre_36,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Lluvia,lluvia estacional,Av. Colombia,Derrumbes de paredes por lluvias en la av. Colombia,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1916,5,5,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.5029,-0.2102,777951,9976744,37,Peltre_37,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Lluvia,lluvia estacional,Ciudadela Larrea,Derrumbes de paredes por lluvias en el Seminario menor Ciudadela Larrea,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1916,5,6,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.50441,-0.21991,777783,9975670,38,Peltre_38,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Lluvia,lluvia estacional,Los Rios y Oriente,Continua Derrumbes de una peña en las calles Los Rios y riente. Se derrumbo una pared en las carreras Piedrahita y Montalvo. otra en las calles Leon y Antepara,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1916,5,6,P17,PICHINCHA,C1701,QUITO,PR170129,SAN ISIDRO DEL INCA,-78.46433,-0.12896,782249,9985732,39,Peltre_39,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Lluvia,lluvia estacional,Yerovi (Imbabura) y Manabi,Derrumbes de peña en la carrera Yerovi (actual Imbabura) y Manabi,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1916,5,6,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.50648,-0.2153,777553,9976180,40,Peltre_40,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Lluvia,lluvia estacional,Venezuela y Caldas,Derrumbes de peñas en las carreras Venezuela y Caldas ( La Basilica),"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1916,5,6,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.50828,-0.22198,777352,9975441,41,Peltre_41,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Lluvia,lluvia estacional,Chile y Hermano Miguel,Derrumbe de peña en las carreras Chile y Hermano Miguel,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1916,5,12,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51144,-0.22062,777000,9975592,42,Peltre_42,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvia estacional,Palacio Municipal,"El Palacio Municipal, el Arzobispal y casi todos los edificios publicos han sufrido daños de proporciones","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1916,5,12,P17,PICHINCHA,C1701,QUITO,PR170113,ITCHIMBIA,-78.50214,-0.21709,778036,9975982,43,Peltre_43,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvia estacional,La Alameda,La Escuela de Artes ( situada en la Alameda) y casi todos los edificios publicos han sufrido daños de proporciones,"2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1916,10,31,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51341,-0.22869,776780,9974699,44,Peltre_44,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,,,calle Borrero,Derrumbe de peña de la calle Borrero,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1916,11,1,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51389,-0.21619,776727,9976082,45,Peltre_45,Peltre 1989,El Comercio,Inundacion,,Lluvia,,"carrera Olmedo, puente de Rojas","Daños por aguacero, especialmente en la carrera Olmedo y en el puente de Rojas","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1917,2,23,P17,PICHINCHA,C1701,QUITO,PR170130,SAN JUAN,-78.51423,-0.21527,776689,9976184,46,Peltre_46,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,,,El Tejar,Caida de una pared en la quebrada del Tejar,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1917,4,17,P17,PICHINCHA,C1701,QUITO,PR170104,COCHAPAMBA,-78.50682,-0.12508,777516,9986162,47,Peltre_47,Peltre 1989,El Comercio,Aluvión,,Lluvia,lluvia estacional,"Cotocollao, Rumiurco, El Colegio ( El Calvario?)","Grandes inundaciones en Cotocollao, la carrera norte esta inundada, llena de materiales como piedras , palos, etc. Se solicita estudios de las zona saltas para evitar futuros problemas","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1917,4,18,P17,PICHINCHA,C1701,QUITO,PR170123,MARISCAL SUCRE,-78.49011,-0.19818,779376,9978074,48,Peltre_48,Peltre 1989,El Comercio,Aluvión,,Lluvia,lluvia estacional,Colon. Quebrada Pambachupa,"Gran inundacion y deslave en la pista del hipodromo nuevo en la Av. 18 de Septiembre (act. 10 de agosto) y Colon; hay varios muertos. Se trato de desviar la creciente de una quebrada de la zona, peor por la fuerte lluvia se llevo material de la desviacio","1.  existencia de muertos y heridos, daños materiales importantes",3,,5,0,0,0
1917,5,4,P17,PICHINCHA,C1701,QUITO,PR170123,MARISCAL SUCRE,-78.48995,-0.19818,779394,9978074,49,Peltre_49,Peltre 1989,El Comercio,Aluvión,,Lluvia,lluvia estacional,Colon. Quebrada Pambachupa,"cubrio gran parte del carretero Norte asi como la Av. Colon formando una inmensa laguna que invadio las casas del sector, causando enormes daños en la zona. No se debe cambiar el cuace de las quebradas, ni arrojas materiales ni escombros en las mismas,","1.  existencia de muertos y heridos, daños materiales importantes",3,,0,0,0,0
1917,10,20,P17,PICHINCHA,C1701,QUITO,PR170112,IÑAQUITO,-78.47236,-0.18549,781354,9979478,50,Peltre_50,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,,,sector Bellavista,Derrumbe de una pared en la parroquia Benalcazar.,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1918,1,5,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51258,-0.21972,776873,9975691,51,Peltre_51,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Palacio Nacional,Caida de cubiertas de varias casas ( Palacio Nacional) por fuertes lluvias,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1918,3,15,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51813,-0.22177,776255,9975465,52,Peltre_52,Peltre 1989,El Comercio,Inundacion,,Lluvia,,"Av. 24 de Mayo, Quebrada Jerusalen","Suspension del transito de tranvia por daños en la planta electrica, El desague de la av. 24 de Mayo se sale de su cauce y causa inundaciones","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1918,5,3,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.50438,-0.21992,777786,9975669,53,Peltre_53,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Lluvia,lluvia estacional,calles Los Rios y Oriente,derrumbe por fuertes y constantes lluvias en las calles Los Rios y Oriente.,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1918,9,18,P17,PICHINCHA,C1701,QUITO,PR170113,ITCHIMBIA,-78.48874,-0.21704,779529,9975987,54,Peltre_54,Peltre 1989,El Comercio,Inundacion,,Lluvia,,s. Vicentina. El Dorado,Inundacion en el dorado; se afectan varias Casas,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1918,10,17,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51488,-0.22397,776617,9975221,55,Peltre_55,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvia estacional,"Av. 24 de mayo, Morales y Loja (quebrada Jerusalem)",Aumento en la quebrada Jerusalem,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1918,10,17,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51463,-0.22603,776645,9974993,56,Peltre_56,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,Lluvia,lluvia estacional,Loja y Morales,derrumbe de pñas en las calles Morales y Loja por aumento de caudal de la quebrada Jerusalem,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1919,1,7,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51112,-0.22383,777036,9975237,57,Peltre_57,Peltre 1989,El Comercio,Hundimiento,hundimiento,,,calle Pereira,Hundimientos en la calle Pereira ( Norte de Santo Domingo),"2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1919,9,24,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51315,-0.22095,776810,9975555,58,Peltre_58,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvia ocasional,Pasaje Royal (Act. Pasaje Amador),Inundacion y daños en el Pasaje Royal por violenta lluvia,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1919,10,13,P17,PICHINCHA,C1701,QUITO,PR170113,ITCHIMBIA,-78.49898,-0.21421,778388,9976301,59,Peltre_59,Peltre 1989,El Comercio,Hundimiento,hundimiento,,,Av. Colombia ( La Marin),"Hundimientos en la Av. Colombia ( cementerio protestante, sur del Ejido)","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1919,11,7,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51321,-0.2218,776803,9975461,60,Peltre_60,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Centro,"Viernes 7 lluvia con nieve, inundaciones y daños en varias casa de la ciudad","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1920,3,6,P17,PICHINCHA,C1701,QUITO,PR170103,CENTRO HISTORICO,-78.51312,-0.22845,776813,9974725,61,Peltre_61,Peltre 1989,El Comercio,Hundimiento,hundimiento,,,"Calle Flores, casco colonial",En la carrera Flores esquina Manosalvas la calle se ha hundido. Para remediar esto solo se ha puesto una barrera que impida el trafico,"2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1920,6,6,P17,PICHINCHA,C1701,QUITO,PR170101,BELISARIO QUEVEDO,-78.5097,-0.20203,777194,9977648,62,Peltre_62,Peltre 1989,El Comercio,Aluvión,,Lluvia,lluvia estacional,Mariscal Sucre-Miraflores,"Inundacion y aluvion por torrencial aguacero, en la Av. 18 de Septiembre ( Quinta Granda, quebrada  la Granada) se paralizo la via, incluso el trafico del tranvia","2. daños materiales comentados por el periodista, molestia grave en el tráfico",2,,0,0,0,0
1920,6,8,P17,PICHINCHA,C1701,QUITO,PR170109,CHIMBACALLE,-78.51553,-0.23892,776544,9973567,63,Peltre_63,Peltre 1989,El Comercio,Inundacion,,Lluvia,lluvia estacional,Estacion Ferrocarril,Delante de la estacion de ferrocarril se ha formado una laguna por las continuas lluvias,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1920,6,25,P17,PICHINCHA,C1701,QUITO,PR170109,CHIMBACALLE,-78.5132,-0.2378,776804,9973691,64,Peltre_64,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,,,s. Alpahuasi,En el sitio denominado Alpahuasi ( Camino a Conocoto) se ha derrumbado una peña,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1920,9,21,P17,PICHINCHA,C1701,QUITO,PR170121,LA MAGDALENA,-78.52078,-0.24089,775959,9973349,65,Peltre_65,Peltre 1989,El Comercio,Inundacion,,Lluvia,,Calle Maldonado. Rio el Censo ( Rio Machangara?),"Por torrencial aguacaro el Rio El Censo arrastro una Iavandera por estar crecido. El sitio El Censo esta localizado en la calle Maldonado y la antigua via al valle de Los Chilos, por lo tanto el Rio Machangara tomaria esa nombre en ese sitio aspecifico","3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
1921,2,22,P17,PICHINCHA,C1701,QUITO,PR170104,COCHAPAMBA,-78.50645,-0.1259,777557,9986071,66,Peltre_66,Peltre 1989,El Comercio,Movimiento en Masa,Derrumbe,,,Camino Norte Ejido- Cotocollao,Camino Norte Ejido- Cotocollao se encuentra en muy malas condiciones,"3. molestia en el tráfico, daños ligeros",1,,0,0,0,0
